step,num_nodes,p_n,p_r,expected_mean_degree,mean_degree,assort
2000,100,0.1,0.001,1.2172949002217297,1.36,0.7194161330291411
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7571378130969387
2000,100,0.1,0.001,1.2172949002217297,1.18,0.7531340055979691
2000,100,0.1,0.001,1.2172949002217297,1.16,0.916331553761846
2000,100,0.1,0.001,1.2172949002217297,0.92,0.8290725054812745
2000,100,0.1,0.001,1.2172949002217297,1.2,0.46548168910316845
2000,100,0.1,0.001,1.2172949002217297,1.18,0.8578232616846442
2000,100,0.1,0.001,1.2172949002217297,1.38,0.8352842453942508
2000,100,0.1,0.001,1.2172949002217297,1.0,0.7636823126792124
2000,100,0.1,0.001,1.2172949002217297,1.24,0.8094410165164173
2000,100,0.1,0.001,1.2172949002217297,1.12,0.8924525645325537
2000,100,0.1,0.001,1.2172949002217297,1.22,0.8232830285386363
2000,100,0.1,0.001,1.2172949002217297,1.22,0.7445843878087872
2000,100,0.1,0.001,1.2172949002217297,1.2,0.6018853445355115
2000,100,0.1,0.001,1.2172949002217297,1.28,0.7683913614117754
2000,100,0.1,0.001,1.2172949002217297,1.16,0.9085475051053884
2000,100,0.1,0.001,1.2172949002217297,1.16,0.7518306202536504
2000,100,0.1,0.001,1.2172949002217297,1.32,0.9163972522798004
2000,100,0.1,0.001,1.2172949002217297,1.2,0.819554570106519
2000,100,0.1,0.001,1.2172949002217297,1.12,0.9160012894255899
2000,100,0.1,0.001,1.2172949002217297,1.08,0.7152006362657559
2000,100,0.1,0.001,1.2172949002217297,1.2,0.7320075422131197
2000,100,0.1,0.001,1.2172949002217297,1.36,0.8775564852339616
2000,100,0.1,0.001,1.2172949002217297,1.22,0.7719726168125619
2000,100,0.1,0.001,1.2172949002217297,1.5,0.818344737652119
2000,100,0.1,0.001,1.2172949002217297,1.14,0.8313791393491741
2000,100,0.1,0.001,1.2172949002217297,1.3,0.8352824211543982
2000,100,0.1,0.001,1.2172949002217297,1.1,0.7365856137573047
